Sort,Year,State,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Primary_Secondary_Syphilis_Count,Primary_Secondary_Syphilis_Rate,Primary_Secondary_Syphilis_RankByCount,Primary_Secondary_Syphilis_RankByRate
12,2005,Idaho,2799,200.9,43,45,119,8.5,48,50,20,1.4,33,27
13,2005,Illinois,50559,397.7,4,7,20019,157.5,5,11,525,4.1,6,7
14,2005,Indiana,20063,321.6,17,24,8094,129.8,17,14,62,1,24,37
15,2005,Iowa,7390,250.1,34,38,1606,54.4,33,37,9,0.3,38,43
16,2005,Kansas,7419,271.2,33,34,2605,95.2,31,23,19,0.7,34,41
17,2005,Kentucky,8351,201.4,32,44,2935,70.8,28,31,52,1.3,27,31
18,2005,Louisiana,17227,381.5,22,12,9572,212,11,2,278,6.2,8,2
19,2005,Maine,2254,171.1,46,47,142,10.8,46,48,1,0.1,43,49
20,2005,Maryland,18291,329.1,21,23,7035,126.6,19,15,313,5.6,7,3
21,2005,Massachusetts,14411,224.6,25,42,2537,39.5,32,42,125,1.9,19,19
22,2005,Michigan,38730,383,7,10,17684,174.9,7,8,105,1,21,35
23,2005,Minnesota,12189,239,27,40,3482,68.3,26,33,70,1.4,23,29
24,2005,Mississippi,21268,732.6,14,1,7171,247,18,1,49,1.7,28,23
25,2005,Missouri,22371,388.7,13,9,9455,164.3,12,9,147,2.6,16,15
26,2005,Montana,2400,258.9,45,36,158,17,45,46,7,0.8,39,39
27,2005,Nebraska,5098,291.8,37,33,1158,66.3,36,34,4,0.2,40,45
28,2005,Nevada,7321,313.6,35,27,2880,123.4,29,16,109,4.7,20,4
29,2005,New Hampshire,1842,141.7,47,50,177,13.6,44,47,16,1.2,35,33
30,2005,New Jersey,19152,220.2,18,43,5722,65.8,21,35,133,1.5,18,26
31,2005,New Mexico,8456,444.3,31,3,1552,81.5,35,28,56,2.9,26,14
32,2005,New York,63966,332.7,3,22,17717,92.1,6,24,705,3.7,4,11
33,2005,North Carolina,31183,365.1,10,18,15072,176.5,9,7,274,3.2,9,12
34,2005,North Dakota,1667,262.8,48,35,128,20.2,47,44,1,0.2,43,48
35,2005,Ohio,43806,382.3,5,11,20985,183.1,3,5,211,1.8,11,22
36,2005,Oklahoma,13407,380.5,26,13,5228,148.4,22,12,44,1.2,30,32
37,2005,Oregon,9018,250.9,29,37,1562,43.5,34,39,41,1.1,31,34
38,2005,Pennsylvania,37261,300.3,8,31,11222,90.5,10,26,199,1.6,12,25
39,2005,Rhode Island,3269,302.5,41,30,438,40.5,42,41,24,2.2,32,17
40,2005,South Carolina,18296,435.8,20,4,8561,203.9,15,4,84,2,22,18
41,2005,South Dakota,2701,350.4,44,20,351,45.5,43,38,2,0.3,42,44
42,2005,Tennessee,23084,391.2,11,8,8605,145.8,14,13,217,3.7,10,10
43,2005,Texas,71860,319.5,2,25,26110,116.1,2,18,873,3.9,2,8
44,2005,Utah,4602,192.6,38,46,727,30.4,40,43,10,0.4,37,42
45,2005,Vermont,957,154,50,49,60,9.7,50,49,1,0.2,43,47
46,2005,Virginia,22668,303.9,12,29,8346,111.9,16,19,143,1.9,17,20
47,2005,Washington,18616,300.1,19,32,3739,60.3,25,36,152,2.5,15,16
48,2005,West Virginia,2944,162.2,42,48,770,42.4,39,40,3,0.2,41,46
49,2005,Wisconsin,20461,371.4,16,16,5869,106.5,20,21,41,0.7,31,40
50,2005,Wyoming,1173,231.6,49,41,87,17.2,49,45,0,0,44,
1,2006,Alabama,22915,498.3,15,5,10665,231.9,12,4,319,6.9,8,2
2,2006,Alaska,4525,675.3,39,1,630,94,41,21,11,1.6,41,25
3,2006,Arizona,24090,390.7,12,13,5949,96.5,21,20,203,3.3,13,13
4,2006,Arkansas,8259,293.8,34,32,4306,153.2,24,13,77,2.7,25,17
5,2006,California,135827,372.6,1,16,33740,92.5,1,22,1835,5,1,6
6,2006,Colorado,16313,343.2,24,22,3695,77.7,26,30,69,1.5,28,26
7,2006,Connecticut,10946,312.3,28,29,2610,74.5,30,31,64,1.8,31,23
8,2006,Delaware,3615,423.6,40,7,1485,174,35,8,20,2.3,36,19
9,2006,Florida,48955,270.6,5,39,23976,132.5,3,15,719,4,4,9
10,2006,Georgia,38972,416.2,8,11,19669,210.1,5,5,581,6.2,5,3
11,2006,Hawaii,5548,431.6,36,6,885,68.8,40,32,18,1.4,38,27
12,2006,Idaho,3345,228.1,41,44,206,14,44,46,3,0.2,44,37
13,2006,Illinois,53586,417.6,4,9,20186,157.3,4,11,431,3.4,6,12
14,2006,Indiana,19859,314.5,20,28,8732,138.3,16,14,93,1.5,22,26
15,2006,Iowa,8390,281.3,33,35,1966,65.9,33,34,19,0.6,37,34
