Line,WellC,PLATE,RIL,Treat,Lipid.per.Fly
354HS,D2,LAMBDA2,354,HS,1.799431817
354HS,D7,LAMBDA2,354,HS,1.974751236
355C,G4,LAMBDA2,355,C,0.753776714
355C,G9,LAMBDA2,355,C,1.098154143
355DR,G5,LAMBDA2,355,DR,0.828913607
355DR,G10,LAMBDA2,355,DR,0.778822345
358C,E1,LAMBDA2,358,C,0.947880356
358C,E6,LAMBDA2,358,C,1.285996377
358DR,F1,LAMBDA2,358,DR,1.267212154
358DR,F6,LAMBDA2,358,DR,1.035540065
358HS,D1,LAMBDA2,358,HS,1.229643707
358HS,D6,LAMBDA2,358,HS,1.073108512
361HS,A3,DELTA 1,361,HS,0.847697831
361HS,A8,DELTA 1,361,HS,1.417485941
362DR,C5,EPSILON 2,362,DR,0.691162635
362DR,C10,EPSILON 2,362,DR,1.642896622
362HS,A5,EPSILON 2,362,HS,0.822652199
362HS,A10,EPSILON 2,362,HS,1.029278657
366C,H5,DELTA 1,366,C,1.555236913
366C,H10,DELTA 1,366,C,2.652187168
366HS,A4,DELTA 1,366,HS,1.223382299
366HS,A9,DELTA 1,366,HS,1.235905115
369C,E2,EPSILON 2,369,C,1.64915803
369C,E7,EPSILON 2,369,C,1.110676959
369DR,E3,EPSILON 2,369,DR,1.824477449
369DR,E8,EPSILON 2,369,DR,1.173291037
369HS,D5,EPSILON 2,369,HS,1.436270165
369HS,D10,EPSILON 2,369,HS,1.805693225
370C,H3,BETA 2,370,C,1.667942253
370C,NA,BETA 2,370,C,1.167029629
370DR,F4,IOTA 2,370,DR,1.07936992
370DR,F9,IOTA 2,370,DR,1.354871863
370HS,G2,BETA 2,370,HS,1.542714097
370HS,NA,BETA 2,370,HS,0.753776714
374C,E3,IOTA 1,374,C,1.655419438
374C,E8,IOTA 1,374,C,1.423747349
374DR,E4,IOTA 1,374,DR,0.972925987
374DR,E9,IOTA 1,374,DR,0.947880356
374HS,E2,IOTA 1,374,HS,1.367394679
374HS,E7,IOTA 1,374,HS,1.066847104
376C,G2,IOTA 1,376,C,2.039099151
376C,G7,IOTA 1,376,C,0.941618948
376DR,B4,BETA 2,376,DR,1.430008757
376DR,NA,BETA 2,376,DR,1.548975505
376HS,F1,BETA 2,376,HS,0.910311909
376HS,NA,BETA 2,376,HS,0.910311909
378C,G4,BETA 2,378,C,1.292257785
378C,NA,BETA 2,378,C,1.317303416
378DR,D5,BETA 2,378,DR,1.085631327
378DR,NA,BETA 2,378,DR,0.885266278
378HS,H4,BETA 2,378,HS,2.056149538
378HS,NA,BETA 2,378,HS,1.023017249
37C,A1,LAMBDA1,37,C,1.167029629
37C,A6,LAMBDA1,37,C,1.354871863
37DR,A3,LAMBDA1,37,DR,1.073108512
37DR,A8,LAMBDA1,37,DR,1.292257785
37HS,A2,LAMBDA1,37,HS,1.242166523
37HS,A7,LAMBDA1,37,HS,1.19207526
380C,H1,ZETA 1,380,C,1.066847104
380C,H6,ZETA 1,380,C,1.19207526
380DR,H3,ZETA 1,380,DR,0.916573317
380DR,H8,ZETA 1,380,DR,0.910311909
380HS,H2,ZETA 1,380,HS,1.054324288
380HS,H7,ZETA 1,380,HS,1.574021136
381C,B3,BETA 2,381,C,1.160768221
381C,NA,BETA 2,381,C,1.624112399
381DR,H5,BETA 2,381,DR,1.417485941
381DR,NA,BETA 2,381,DR,1.761863371
381HS,A3,BETA 2,381,HS,1.724294924
381HS,NA,BETA 2,381,HS,1.285996377
383C,F2,BETA 2,383,C,1.016755841
383C,NA,BETA 2,383,C,0.979187395
383HS,G3,BETA 2,383,HS,2.012319683
383HS,NA,BETA 2,383,HS,1.893352935
384C,C5,BETA 2,384,C,1.64915803
384C,NA,BETA 2,384,C,1.235905115
